Head,Related Tails
budget,in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf
budget,per chapter up to a maximum of one quarter of the total appropriations authorised in the relevant chapter of the budget for the preceding financial year plus one twelfth for each month which has elapsed
budget,per chapter up to a maximum of one twelfth of the appropriations authorised in the relevant chapter of the budget for the preceding financial year
budget,one twelfth of the appropriations provided for in the same chapter of the budget however
budget,the amount of the appropriations entered in the corresponding chapter of the budget for the preceding financial year
budget,in the budget for the following financial year as revenue in the event of a surplus or as a payment appropriation in the event of a deficit
budget,in the budget during the budgetary procedure and in a letter of amendment submitted pursuant to article 42 of this regulation
budget,after the presentation of the provisional accounts for each financial year in the budget for the following financial year through an amending budget devoted solely to that discrepancy
budget,without prejudice to article 27 in the budget in full without any adjustment against each other
budget,on the sum entered in the budget for the preceding financial year
budget,to which with regard to operational expenditure transfer appropriations between chapters within the same title up to a maximum of 10   of the appropriations for the financial year shown on the budget line from which the transfer is made with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
budget,from which with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
budget,in all languages on the website of union institutions on the commissions initiative as soon as possible and no later than four weeks after the definitive adoption of the budget
budget,where by the budget in accordance with point of the first subparagraph of article 621
budget,the budget when pursuant to article 591
budget,in the budget
budget,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
budget,that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf
budget,in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf
budget,per chapter up to a maximum of one quarter of the total appropriations authorised in the relevant chapter of the budget for the preceding financial year plus one twelfth for each month which has elapsed
budget,per chapter up to a maximum of one twelfth of the appropriations authorised in the relevant chapter of the budget for the preceding financial year
budget,one twelfth of the appropriations provided for in the same chapter of the budget however
budget,the amount of the appropriations entered in the corresponding chapter of the budget for the preceding financial year
budget,in the budget for the following financial year as revenue in the event of a surplus or as a payment appropriation in the event of a deficit
budget,in the budget during the budgetary procedure and in a letter of amendment submitted pursuant to article 42 of this regulation
budget,after the presentation of the provisional accounts for each financial year in the budget for the following financial year through an amending budget devoted solely to that discrepancy
budget,without prejudice to article 27 in the budget in full without any adjustment against each other
budget,on the sum entered in the budget for the preceding financial year
budget,to which with regard to operational expenditure transfer appropriations between chapters within the same title up to a maximum of 10   of the appropriations for the financial year shown on the budget line from which the transfer is made with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
budget,from which with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
budget,in all languages on the website of union institutions on the commissions initiative as soon as possible and no later than four weeks after the definitive adoption of the budget
budget,where by the budget in accordance with point of the first subparagraph of article 621
budget,the budget when pursuant to article 591
commitment appropriation,differentiated appropriations which consist of commitment appropriations and payment appropriations and
commitment appropriation,up to 31 december of the following financial year payment appropriations which are needed to cover existing commitments or commitments linked to commitment appropriations carried over where the payment appropriations provided for in the relevant budget lines for the following financial year are insufficient noncommitted appropriations relating to the actions referred to in article 41  of regulation  eu  no 13062013 of the european parliament and of the council  1
commitment appropriation,automatically in respect of : commitment appropriations for the emergency aid reserve and for the european union solidarity fund
commitment appropriation,provided that other commitment appropriations are no longer available appropriations corresponding to external assigned revenue
commitment appropriation,automatically both as commitment appropriations and as payment appropriations
payment appropriation,differentiated appropriations which consist of commitment appropriations and payment appropriations and
payment appropriation,up to 31 december of the following financial year payment appropriations which are needed to cover existing commitments or commitments linked to commitment appropriations carried over where the payment appropriations provided for in the relevant budget lines for the following financial year are insufficient noncommitted appropriations relating to the actions referred to in article 41  of regulation  eu  no 13062013 of the european parliament and of the council  1
payment appropriation,in the budget for the following financial year as revenue in the event of a surplus or as a payment appropriation in the event of a deficit
payment appropriation,automatically both as commitment appropriations and as payment appropriations
payment appropriation,the foreseeable schedule of annual requirements in the case of multiannual operations in terms of commitment and payment appropriations and posts including for external personnel and an evaluation of commitment and payment appropriations and posts including for external personnel mediumterm and where possible longterm financial impact
expenditure,all revenue and expenditure considered necessary for the union
expenditure,without prejudice to authorised expenditure arising from contingent liabilities as provided for in article 2102
expenditure,only for an item of expenditure considered necessary
expenditure,in the accounts for a financial year on the basis of the reimbursements made by the commission to member states by 31 december of that year including the expenditure charged by 31 january of the following financial year as laid down in articles 30 and 31
expenditure,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
expenditure,that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf
expenditure,expenditure in excess of one provisional twelfth
expenditure,sufficient to cover the expenditure necessary to avoid a break in continuity of union action in the area covered by the chapter in question authorisation if for a given chapter
expenditure,to finance specific items of expenditure
expenditure,for which to specific items of expenditure
expenditure,subject to ex ante and retrospective evaluations which shall be proportionate to the objectives and expenditure
expenditure,all revenue and expenditure considered necessary for the union
expenditure,without prejudice to authorised expenditure arising from contingent liabilities as provided for in article 2102
expenditure,only for an item of expenditure considered necessary
expenditure,in the accounts for a financial year on the basis of the reimbursements made by the commission to member states by 31 december of that year including the expenditure charged by 31 january of the following financial year as laid down in articles 30 and 31
expenditure,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
expenditure,that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf
expenditure,expenditure in excess of one provisional twelfth
expenditure,sufficient to cover the expenditure necessary to avoid a break in continuity of union action in the area covered by the chapter in question authorisation if for a given chapter
expenditure,to finance specific items of expenditure
expenditure,for which to specific items of expenditure
expenditure,subject to ex ante and retrospective evaluations which shall be proportionate to the objectives and expenditure
appropriation,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
appropriation,the appropriations authorised for the following financial year with regard to point of the first subparagraph first
appropriation,the appropriations carried over
appropriation,fully by the time all the operations relating to the programme or action to which such appropriations are assigned have been carried out or such appropriations may be carried over and used for the succeeding programme or action
appropriation,per chapter up to a maximum of one twelfth of the appropriations authorised in the relevant chapter of the budget for the preceding financial year
appropriation,one twelfth of the appropriations provided for in the same chapter of the budget however
appropriation,the amount of the appropriations entered in the corresponding chapter of the budget for the preceding financial year
appropriation,appropriations for which
appropriation,by appropriate and detailed supporting documents showing the most recent information available for the implementation of appropriations and estimates of requirements up to the end of the financial year both for the budget lines to which the appropriations are to be transferred and for those from which the appropriations are to be taken
appropriation,to be transferred and for those from which the appropriations are to be taken
appropriation,to which with regard to operational expenditure transfer appropriations between chapters within the same title up to a maximum of 10   of the appropriations for the financial year shown on the budget line from which the transfer is made with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
appropriation,from which with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
appropriation,decisions on transfers of appropriations in accordance with paragraphs
appropriation,to be made an analysis of the possibilities of reallocating appropriations to which
appropriation,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
appropriation,the appropriations authorised for the following financial year with regard to point of the first subparagraph first
appropriation,the appropriations carried over
appropriation,fully by the time all the operations relating to the programme or action to which such appropriations are assigned have been carried out or such appropriations may be carried over and used for the succeeding programme or action
appropriation,per chapter up to a maximum of one twelfth of the appropriations authorised in the relevant chapter of the budget for the preceding financial year
appropriation,one twelfth of the appropriations provided for in the same chapter of the budget however
appropriation,the amount of the appropriations entered in the corresponding chapter of the budget for the preceding financial year
appropriation,appropriations for which
appropriation,by appropriate and detailed supporting documents showing the most recent information available for the implementation of appropriations and estimates of requirements up to the end of the financial year both for the budget lines to which the appropriations are to be transferred and for those from which the appropriations are to be taken
appropriation,to be transferred and for those from which the appropriations are to be taken
appropriation,to which with regard to operational expenditure transfer appropriations between chapters within the same title up to a maximum of 10   of the appropriations for the financial year shown on the budget line from which the transfer is made with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
appropriation,from which with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
appropriation,decisions on transfers of appropriations in accordance with paragraphs
appropriation,to be made an analysis of the possibilities of reallocating appropriations to which
budget,in the budget
budget,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
budget,that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf
budget,in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf
budget,per chapter up to a maximum of one quarter of the total appropriations authorised in the relevant chapter of the budget for the preceding financial year plus one twelfth for each month which has elapsed
budget,per chapter up to a maximum of one twelfth of the appropriations authorised in the relevant chapter of the budget for the preceding financial year
budget,one twelfth of the appropriations provided for in the same chapter of the budget however
budget,the amount of the appropriations entered in the corresponding chapter of the budget for the preceding financial year
budget,in the budget for the following financial year as revenue in the event of a surplus or as a payment appropriation in the event of a deficit
budget,in the budget during the budgetary procedure and in a letter of amendment submitted pursuant to article 42 of this regulation
budget,after the presentation of the provisional accounts for each financial year in the budget for the following financial year through an amending budget devoted solely to that discrepancy
budget,without prejudice to article 27 in the budget in full without any adjustment against each other
budget,on the sum entered in the budget for the preceding financial year
budget,to which with regard to operational expenditure transfer appropriations between chapters within the same title up to a maximum of 10   of the appropriations for the financial year shown on the budget line from which the transfer is made with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
budget,from which with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
budget,in all languages on the website of union institutions on the commissions initiative as soon as possible and no later than four weeks after the definitive adoption of the budget
budget,where by the budget in accordance with point of the first subparagraph of article 621
budget,the budget when pursuant to article 591
appropriation,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
appropriation,the appropriations authorised for the following financial year with regard to point of the first subparagraph first
appropriation,the appropriations carried over
appropriation,fully by the time all the operations relating to the programme or action to which such appropriations are assigned have been carried out or such appropriations may be carried over and used for the succeeding programme or action
appropriation,per chapter up to a maximum of one twelfth of the appropriations authorised in the relevant chapter of the budget for the preceding financial year
appropriation,one twelfth of the appropriations provided for in the same chapter of the budget however
appropriation,the amount of the appropriations entered in the corresponding chapter of the budget for the preceding financial year
appropriation,appropriations for which
appropriation,by appropriate and detailed supporting documents showing the most recent information available for the implementation of appropriations and estimates of requirements up to the end of the financial year both for the budget lines to which the appropriations are to be transferred and for those from which the appropriations are to be taken
appropriation,to be transferred and for those from which the appropriations are to be taken
appropriation,to which with regard to operational expenditure transfer appropriations between chapters within the same title up to a maximum of 10   of the appropriations for the financial year shown on the budget line from which the transfer is made with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
appropriation,from which with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
appropriation,decisions on transfers of appropriations in accordance with paragraphs
appropriation,to be made an analysis of the possibilities of reallocating appropriations to which
financial year,the total cost of the legal commitments entered into during the financial year subject to article 1142
financial year,payments made to honour the legal commitments entered into in the financial year or
financial year,for a financial year which shall run from 1 january to 31 december
financial year,in the accounts for a financial year on the basis of the legal commitments entered into up to 31 december of that year
financial year,in the accounts for a financial year on the basis of the payments made by the accounting officer by 31 december of that year
financial year,by way of derogation from paragraphs 3 and 4 : in the accounts for a financial year on the basis of the repayments made by the commission to member states by 31 december of that year provided that the payment order has reached the accounting officer by 31 january of the following financial year expenditure implemented under shared management with the exception of the eagf
financial year,in the accounts for a financial year on the basis of the reimbursements made by the commission to member states by 31 december of that year including the expenditure charged by 31 january of the following financial year as laid down in articles 30 and 31
financial year,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
financial year,up to 31 march of the following financial year with the exception of nondifferentiated appropriations related to building projects which may be committed up to 31 december of the following financial year appropriations which are necessary when the legislative authority has adopted a basic act in the final quarter of the financial year and
financial year,legally at the end of the financial year
financial year,only before 31 december of the financial year for reasons not attributable to the authorising officer
financial year,to in point of the first subparagraph of article 122  which shall be completed by 31 december of the financial year in order to allow a carryover to the following financial year are in particular
financial year,after the presentation of the provisional accounts for each financial year in the budget for the following financial year through an amending budget devoted solely to that discrepancy
financial year,by means of direct deduction against a new interim payment or payment of a balance to the same payee under the chapter article and financial year in respect
financial year,in the balance for the financial year
financial year,by appropriate and detailed supporting documents showing the most recent information available for the implementation of appropriations and estimates of requirements up to the end of the financial year both for the budget lines to which the appropriations are to be transferred and for those from which the appropriations are to be taken
financial year,to which with regard to operational expenditure transfer appropriations between chapters within the same title up to a maximum of 10   of the appropriations for the financial year shown on the budget line from which the transfer is made with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
financial year,shall be published on the websites of union institutions no later than 30 june of the year following the financial year in which the funds were legally committed to in paragraph 1
financial year,on the websites of union institutions following the financial year in which the funds were legally committed
follow financial year,in the accounts for a financial year on the basis of the reimbursements made by the commission to member states by 31 december of that year including the expenditure charged by 31 january of the following financial year as laid down in articles 30 and 31
follow financial year,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
follow financial year,by a decision taken pursuant to paragraph 3 but only to the following financial year
follow financial year,up to 31 march of the following financial year with the exception of nondifferentiated appropriations related to building projects which may be committed up to 31 december of the following financial year appropriations which are necessary when the legislative authority has adopted a basic act in the final quarter of the financial year and
follow financial year,up to 31 december of the following financial year payment appropriations which are needed to cover existing commitments or commitments linked to commitment appropriations carried over where the payment appropriations provided for in the relevant budget lines for the following financial year are insufficient noncommitted appropriations relating to the actions referred to in article 41  of regulation  eu  no 13062013 of the european parliament and of the council  1
follow financial year,the appropriations authorised for the following financial year with regard to point of the first subparagraph first
follow financial year,the amount of the adjustment of direct payments applied in accordance with article 26 of regulation  eu  no 13062013 during the following financial year within a limit of 2   of the initial appropriations voted by the european parliament and by the council
follow financial year,to in paragraph 2 by 15 february of the following financial year
follow financial year,only to the following financial year
follow financial year,sufficiently advanced to make it reasonable to expect that the commitment will be made by 31 march of the following financial year or in relation to building projects by 31 december of the following financial year
follow financial year,by 31 march of the following financial year or in relation to building projects by 31 december of the following financial year
follow financial year,to in point of the first subparagraph of article 122  which shall be completed by 31 december of the financial year in order to allow a carryover to the following financial year are in particular
follow financial year,in the budget for the following financial year as revenue in the event of a surplus or as a payment appropriation in the event of a deficit
follow financial year,after the presentation of the provisional accounts for each financial year in the budget for the following financial year through an amending budget devoted solely to that discrepancy
commitment,up to 31 december of the following financial year payment appropriations which are needed to cover existing commitments or commitments linked to commitment appropriations carried over where the payment appropriations provided for in the relevant budget lines for the following financial year are insufficient noncommitted appropriations relating to the actions referred to in article 41  of regulation  eu  no 13062013 of the european parliament and of the council  1
commitment,sufficiently advanced to make it reasonable to expect that the commitment will be made by 31 march of the following financial year or in relation to building projects by 31 december of the following financial year
commitment,a total of four provisional twelfths except in duly justified cases both for commitments and for payments over and above those automatically made available in accordance with paragraphs 1 and 2
commitment,the foreseeable schedule of annual requirements in the case of multiannual operations in terms of commitment and payment appropriations and posts including for external personnel and an evaluation of commitment and payment appropriations and posts including for external personnel mediumterm and where possible longterm financial impact
payment,payments made to honour the legal commitments entered into in the financial year or
payment,in the accounts for a financial year on the basis of the payments made by the accounting officer by 31 december of that year
payment,a total of four provisional twelfths except in duly justified cases both for commitments and for payments over and above those automatically made available in accordance with paragraphs 1 and 2
payment,from payment requests which shall then be passed for payment of the net amount
payment,by means of direct deduction against a new interim payment or payment of a balance to the same payee under the chapter article and financial year in respect
appropriation,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
appropriation,the appropriations authorised for the following financial year with regard to point of the first subparagraph first
appropriation,the appropriations carried over
appropriation,fully by the time all the operations relating to the programme or action to which such appropriations are assigned have been carried out or such appropriations may be carried over and used for the succeeding programme or action
